step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN,s4_m,Fx4_uN,Fy4_uN,F4_uN,s5_m,Fx5_uN,Fy5_uN,F5_uN,s6_m,Fx6_uN,Fy6_uN,F6_uN,s7_m,Fx7_uN,Fy7_uN,F7_uN
65,0,0,5.7292968,5.7292968,0.0075,-7.3263347,25.668253,26.69334,0.015,-6.9947537,13.748897,15.425912,0.02,-12.416493,28.44707,31.038767,0.03,-20.51795,4.4060897,20.985707,0.04,-20.442622,18.937464,27.866258,0.05,-7.9384819,5.6998265,9.7727948
66,0,0,5.7349865,5.7349865,0.0075,-6.9610539,24.35548,25.330726,0.015,-7.0326167,13.738398,15.43377,0.02,-11.807392,26.984128,29.454332,0.03,-20.131022,4.3087347,20.586968,0.04,-21.163784,19.541158,28.8056,0.05,-6.8617432,4.8044431,8.3765264
67,0,0,5.7404473,5.7404473,0.0075,-6.8169023,23.830336,24.786187,0.015,-7.3539031,14.277741,16.060317,0.02,-11.574151,26.395029,28.821148,0.03,-18.003255,3.8410586,18.408447,0.04,-21.163124,19.482348,28.765252,0.05,-7.2843972,4.9763382,8.8219264
68,0,0,5.7456773,5.7456773,0.0075,-6.1449719,21.473482,22.335423,0.015,-7.1092512,13.717915,15.450652,0.02,-10.444871,23.778549,25.971422,0.03,-20.029766,4.2603458,20.477844,0.04,-19.969905,18.335032,27.11034,0.05,-7.2610089,4.8421718,8.7274784
69,0,0,5.7506752,5.7506752,0.0075,-6.9694745,24.358442,25.335889,0.015,-6.5322722,12.527165,14.128002,0.02,-11.861079,26.967133,29.460337,0.03,-19.935507,4.2278539,20.378891,0.04,-21.630593,19.813686,29.333679,0.05,-9.6939017,6.3137045,11.56869
70,0,0,5.7554392,5.7554392,0.0075,-6.2773117,21.954694,22.834475,0.015,-7.005893,13.353014,15.079308,0.02,-10.697948,24.301182,26.551715,0.03,-19.299521,4.0814925,19.72638,0.04,-20.736197,18.9571,28.095578,0.05,-5.7870976,3.6829906,6.8596588
71,0,0,5.7599678,5.7599678,0.0075,-6.5809132,23.0458,23.967005,0.015,-7.4133999,14.043165,15.879829,0.02,-11.232573,25.504681,27.868611,0.03,-19.460868,4.10461,19.889023,0.04,-20.615879,18.817139,27.912348,0.05,-7.3735033,4.5874988,8.684106
72,0,0,5.7642598,5.7642598,0.0075,-7.1215332,24.985599,25.980692,0.015,-7.345903,13.830262,15.66009,0.02,-12.177653,27.651931,30.21464,0.03,-21.402636,4.5026972,21.871148,0.04,-21.864031,19.932543,29.586181,0.05,-8.7549059,5.3274632,10.248426
73,0,0,5.7683137,5.7683137,0.0075,-6.5659208,23.093656,24.00892,0.015,-7.3725729,13.795875,15.642282,0.02,-11.246566,25.551774,27.917349,0.03,-19.483895,4.0891846,19.90838,0.04,-20.780744,18.930206,28.110354,0.05,-7.6889741,4.5783125,8.9488138
74,0,0,5.7721283,5.7721283,0.0075,-7.2080347,25.431791,26.433534,0.015,-7.3065017,13.589184,15.428898,0.02,-12.371149,28.137118,30.736668,0.03,-19.673179,4.1195666,20.099871,0.04,-20.490599,18.659565,27.713607,0.05,-8.7943835,5.1263503,10.179423
